127.0.0.1 - - [24/Feb/2020:16:17:43 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:17:44 +0530] "GET /JSP/Index.html HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:19:15 +0530] "GET /JSP/Index.html HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:20:08 +0530] "GET /JSP/Index.html HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:20:10 +0530] "POST /JSP/One.jsp HTTP/1.1" 404 724
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:24:30 +0530] "GET /JSP/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:24:38 +0530] "POST /JSP/One.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:25:12 +0530] "POST /JSP/One.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:25:17 +0530] "GET /JSP/Index.html HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:28:39 +0530] "POST /JSP/One.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:48:22 +0530] "GET /JSP/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:59:36 +0530] "GET /JSP/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:17:00:00 +0530] "POST /JSP/One.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [24/Feb/2020:17:00:36 +0530] "POST /JSP/One.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [24/Feb/2020:17:01:08 +0530] "POST /JSP/One.jsp HTTP/1.1" 200 343
